logFC,P.Value,adj.P.Val,symbol,FC,logPval
-0.802525918532172,0.000142477431716719,0.0211869973590904,MCCC2,-1.60081605769168,3.84625392202116
-0.821114070568324,0.000412793263835313,0.0308562964716896,PCCA,-1.62526861770146,3.38426739835522
-0.821662305639062,0.000774735801573252,0.0378354340352601,RPS17,-1.62599389252566,3.11084637424311
-0.740737893077297,0.00101231930529124,0.0378354340352601,C1QBP,-1.52142200112192,2.9946824809214
-0.988142140406989,0.00405724138280465,0.0822199380094524,MCCC1,-1.85759724826201,2.39176915347349
-0.595717136553523,0.0147382297213068,0.163212247654472,SRRM2,-1.34579473791597,1.83155467851492
