P08238
P35579
P60709
P38646
P14625
P11498
P02545
P11021
Q13085
P07900
P20700
Q13813
P11142
Q01082
P02533
P13639
P22626
P09651
P10809
Q09666
P35580
P07437
Q6P2Q9
Q7KZF4
P25705
Q00610
P55072
O43707
P07237
P61978
P23246
Q07065
O00567
O75533
P07355
P35232
Q08211
P17844
Q03252
Q9Y490
P38159
P21333
Q00839
P26038
P19338
P14618
O60506
Q14152
P62805
P06748
O00571
Q9P2E9
Q9UQE7
Q8NC51
P62258
P62753
O43390
P67809
P05165
Q71U36
P16615
P31943
P43243
O60264
P27797
P17987
Q04637
Q92945
P51114
Q16891
P10412
Q12906
P06733
P05023
P49588
P30101
P26373
P23396
P51991
P26641
Q14839
P50990
P11940
P04075
O94906
P49411
P12814
P52272
P20020
P05204
P08133
P11388
P62263
P27348
Q9Y5B9
O75400
O75369
Q15233
P14866
P07996
Q5QNW6
Q12931
Q15459
P49368
P55060
P08621
Q00341
Q9NZM1
Q9Y2X3
P78344
P22087
P62987
P34897
P62241
Q13263
P46782
Q14683
Q13247
O43143
Q99729
Q13435
P36578
P46940
Q07955
P63104
P13667
P98160
Q14974
P49756
Q9Y2W1
P78371
Q86UP2
P31930
P46781
P18124
Q99623
B5ME19
Q13185
P52597
P35998
P68104
Q9Y265
Q5T9A4
P61353
P26599
O95831
Q96AG4
P07954
Q13148
P55209
P62081
Q8WUM4
Q14566
O15355
Q14697
P22314
P61247
Q92621
Q8WWM7
O75643
Q12874
Q02878
Q8N1F7
P61158
P00367
O00541
Q14204
Q9BXP5
P51532
P62333
P40227
O75475
P27708
O75494
Q8TD47
P15880
O43852
Q9NYF8
O60716
Q02218
P02751
P00505
Q96KR1
P28066
P46777
P42285
Q9H307
P34932
Q15717
P07910
Q14980
O75477
Q8N163
P35241
P12270
P35221
P53621
P62195
P31939
P39023
O15371
Q9H0A0
Q15008
Q9UMS4
P43304
P05388
P06576
P62249
P18206
Q9NSE4
P33992
P11387
P27635
P54886
O00159
P27695
P20042
P63010
Q9P258
P60953
P18621
Q7KZ85
P18077
Q15393
P12004
Q9NY33
Q9Y262
P50991
P50213
P04843
P17480
P45974
O75821
P49257
Q13823
Q99459
P62750
P53396
Q92626
P12236
Q9UQ80
P04406
P33176
P41250
P30153
Q15437
Q8WVX9
O94776
Q14444
O95302
P49207
