logFC,P.Value,adj.P.Val,symbol,FC,logPval
-1.29628340662849,0.000345110666923286,0.341597049374598,PTMA,-2.35416032729897,3.46204161702168
-1.4116695353582,0.00286369631355488,0.341597049374598,PTMS,-2.56647949377482,2.54307303955564
-1.35722784824182,0.00394471680692016,0.341597049374598,MARCKS,-2.46434140261742,2.40398416954113
-1.07938155304479,0.0041889279580159,0.341597049374598,RAP1A,-1.9948221308305,2.37789710865411
-1.14274626498521,0.00512139769144229,0.341597049374598,TPM3,-2.09478516546121,2.29061149862513
-1.20107811727263,0.00549840403545515,0.341597049374598,NUCKS1,-2.19037665115625,2.25976335035622
-0.95777149850527,0.00573070034608351,0.341597049374598,MARCKSL1,-1.81359443902037,2.24179229987322
-1.34103755876114,0.00602933754748973,0.341597049374598,MYL6,-2.4346502920971,2.21973040183566
-1.42960975218507,0.00665071499239277,0.341597049374598,EIF4EBP1,-2.6009305769546,2.17713166288352
-1.05346739576685,0.00698451958743053,0.341597049374598,PUM1,-1.95505998006433,2.15586346037345
-0.894572713887094,0.00830369280098842,0.341597049374598,TPM4,-1.72458258095241,2.08072872612657
-1.84478905940917,0.00856569932601327,0.341597049374598,STMN1,-3.52240522919721,2.06723717431782
-0.879027432726936,0.00874126951209532,0.341597049374598,ATP5PD,-1.70320159890331,2.05842548932675
-1.4058465181646,0.00891212982959666,0.341597049374598,TPM2,-2.55538296613289,2.05001849543485
-1.05024039028607,0.00900244856725541,0.341597049374598,AFDN,-1.95015295617487,2.04563935115867
-1.18185071139515,0.0103016115133115,0.341597049374598,MAP7D2,-2.15847977527507,1.98709483193616
-1.47866480800275,0.0110445005984692,0.341597049374598,GCSH,-2.69720171412002,1.95685391693447
-1.25433794452851,0.0127235172356914,0.341597049374598,TXN2,-2.28078001719159,1.89539281754745
-1.5232789101875,0.0128039848034718,0.341597049374598,FAM136A,-2.7874624184189,1.89265484997404
-1.07945772235684,0.0144850661510858,0.341597049374598,CLINT1,-1.99493994582258,1.83907951709909
-1.00018974447554,0.0146902332219631,0.341597049374598,YBX1,-1.87527949801996,1.83297130930112
-1.16462134441556,0.0149122963911981,0.341597049374598,NDUFA7,-2.13022337053909,1.82645547303042
-1.84663013360235,0.0158118005308488,0.341597049374598,DBI,-3.52708080014131,1.8010186730097
-0.985040238960243,0.0162196697391845,0.341597049374598,GFER,-1.85306561167941,1.7899579930293
-0.740787774861683,0.0163223039501287,0.341597049374598,REPS1,-1.52148495137227,1.78721853907446
-1.11898089980996,0.0163931072827973,0.341597049374598,TPM1,-2.05683022163974,1.7853387189207
-0.810924494483469,0.0169956996534488,0.341597049374598,SAFB,-1.61183116235795,1.76966095232966
-0.969840458927074,0.0172036922374393,0.341597049374598,MTDH,-1.83098335776338,1.76437833528659
-0.941705014370765,0.018476856629644,0.341597049374598,WASHC2C,-1.79064263592362,1.73337191106593
-0.808775348143278,0.0186061866041681,0.341597049374598,IRS4,-1.60900727603649,1.73034262775428
-1.08315704934035,0.0194272663525557,0.341597049374598,PFDN2,-2.00066858479528,1.71158830550026
-1.01804030879472,0.0200411911742316,0.341597049374598,ENSA,-1.90171953836526,1.69807646918096
-1.00677154750376,0.0204527295268283,0.341597049374598,SRRM2,-1.88499475837267,1.68924872485292
-1.03755745130107,0.0207843886070297,0.341597049374598,SLTM,-1.93096142472078,1.68226274616371
-1.1126743346143,0.0209315060966489,0.341597049374598,C1orf52,-2.04685232702021,1.67919952149738
-1.17065553753094,0.0210268445806796,0.341597049374598,PRCC,-2.14008475669917,1.67722589536017
-0.861293460913906,0.0213824970751169,0.341597049374598,SUMO2,-1.67905162438883,1.6699415787054
-1.3701243197653,0.0214671763445486,0.341597049374598,CMC4,-2.48821392218859,1.66822507613327
-0.742703006501216,0.021598650294663,0.341597049374598,RBM14,-1.52390332846734,1.66557338717752
-0.732999752275798,0.0217612909329204,0.341597049374598,PDS5A,-1.51167853371343,1.66231534480042
-1.03114842078419,0.0219941319202674,0.341597049374598,HDGFL3,-1.92132027951052,1.65769317438626
-0.839890428370044,0.0227647162405506,0.341597049374598,TNKS1BP1,-1.65024269421939,1.64273775875052
-1.17116150563634,0.0229483723039208,0.341597049374598,TBCA,-2.14091333441926,1.63924811293694
-1.05139130449016,0.0229654856755592,0.341597049374598,EEF1B2,-1.95190192969286,1.63892436566147
-0.928566948979562,0.0231482317861701,0.341597049374598,RSRC2,-1.77203940831279,1.63548217764119
-1.09693548498869,0.0238050145569926,0.341597049374598,RRBP1,-2.02212139488421,1.62333154861419
-0.822676410860726,0.0240606219349184,0.341597049374598,SAFB2,-1.62733609836769,1.61869315091919
-0.89380669107263,0.0248007061713134,0.341597049374598,NUP153,-1.72352432315805,1.60553595296659
-0.635144970908664,0.0250448260526738,0.341597049374598,EDC4,-1.39212477890585,1.60128198033008
-1.20825158317446,0.0251308122791647,0.341597049374598,HMGN2,-2.20237626059087,1.59979347389617
-0.763779566881922,0.0256123786976767,0.341597049374598,MTA2,-1.55069519764578,1.59155008544012
-0.768134993781398,0.0258499074172028,0.341597049374598,ATXN2L,-1.55627275479025,1.58754100801569
-1.44326047458671,0.0258527471556563,0.341597049374598,CLTA,-2.62741358840314,1.58749330126825
-0.899897325892738,0.0263773199351332,0.341597049374598,RPLP2,-1.73195196542637,1.57876933299404
-1.10062253262119,0.0263776583087306,0.341597049374598,SOD1,-2.02789327104365,1.57876376181228
-1.16294246222657,0.0280729727141164,0.341597049374598,SARNP,-2.127486289657,1.55171159645073
