logFC,P.Value,adj.P.Val,symbol,FC,logPval
1.01041337718983,0.00286451384253373,0.341597049374598,BLVRA,1.89038723320176,2.542949074716
1.18976224486136,0.00461571375930266,0.341597049374598,AKR1B1,2.17155769392993,2.33576113152691
0.919890792892975,0.00489808053038861,0.341597049374598,ABHD14B,1.7598348151481,2.30997407882423
1.1653856278126,0.00593463829644143,0.341597049374598,SRM,2.13147033674656,2.22660574522607
1.29624435356087,0.0059910408539469,0.341597049374598,PRMT1,2.35409109116242,2.22249771887012
0.906995359977422,0.00757887677800606,0.341597049374598,CRABP2,1.7418125106555,2.12039515390091
1.41684544530744,0.0079498287544321,0.341597049374598,RPS16,2.57637796666642,2.0996422262877
0.698694785691957,0.00905594417249686,0.341597049374598,HARS2,1.46900341614685,2.04306626345829
0.726220620186155,0.00993976991135807,0.341597049374598,CSNK2A2,1.50317834889878,2.00262366865944
1.14267258459203,0.01144630693627,0.341597049374598,PGD,2.09466661964957,1.94133461253028
0.899161892694295,0.0114982774740214,0.341597049374598,GRHPR,1.73093270715304,1.9393672152602
0.874211880449138,0.012181832637609,0.341597049374598,RACK1,1.69661852022708,1.91428737142975
0.785668811922775,0.0128235061263779,0.341597049374598,LYPLA1,1.57887056027507,1.8919932163806
1.38491522451934,0.0130435056560681,0.341597049374598,SAR1A,2.51583810930962,1.88460566915082
1.03167771897071,0.0131859931359043,0.341597049374598,MPST,1.92211506711653,1.87988715466843
0.807717360765739,0.0132579784379106,0.341597049374598,ECH1,1.60761843781165,1.87752269163196
0.865387091004965,0.0134309916850459,0.341597049374598,MPI,1.68460364042684,1.87189191976293
0.645922232855259,0.0140030434856673,0.341597049374598,UAP1,1.40496818289803,1.85377756250883
0.997773737566948,0.015243563502174,0.341597049374598,DTYMK,1.87172308511555,1.8169134956983
1.01267459970121,0.0158962269139504,0.341597049374598,PPIB,1.893741495786,1.79870594642836
0.887819973193508,0.0161817520113808,0.341597049374598,FERMT2,1.71527040851492,1.79097445876315
0.753318072715444,0.0165029297455299,0.341597049374598,ATIC,1.53735586054319,1.78243894915767
0.849242169476536,0.0167556597759511,0.341597049374598,PRDX3,1.66278528298795,1.77583846658052
1.0218623028105,0.0172481295940895,0.341597049374598,MCM4,1.90741833301037,1.76325799340276
0.977851050320004,0.0176395360494572,0.341597049374598,PITPNB,1.84259566598796,1.75351284175581
0.899463959655765,0.0177710526587448,0.341597049374598,DDX39B,1.73135129609841,1.75028684623274
0.734359439300679,0.0179107144512027,0.341597049374598,ARHGDIA,1.51338742402304,1.74688708997306
0.897638381196288,0.0179461079109747,0.341597049374598,PREP,1.72882265896996,1.74602972513959
1.02097629077959,0.0180734011945606,0.341597049374598,GSTP1,1.90609605185303,1.74296011080195
0.978747120329576,0.0190472949355244,0.341597049374598,QDPR,1.84389815251562,1.72016669337378
0.715232435886584,0.0195626190239353,0.341597049374598,PPA2,1.48947095470004,1.70857300274367
0.647208161395287,0.0201558105636476,0.341597049374598,DPP3,1.4065058622835,1.69559973205615
0.920324601674899,0.0206264529515493,0.341597049374598,UBE2K,1.76044353089907,1.6855754494876
0.698876321912845,0.0219325799444674,0.341597049374598,GDI1,1.46922703860154,1.6589102789589
0.954061461166656,0.0236422380845646,0.341597049374598,GPI,1.80827459032774,1.62631141350277
0.772539846937253,0.0242286886739696,0.341597049374598,SBDS,1.56192803371344,1.61567009048776
0.877018473896431,0.0258331700588582,0.341597049374598,RPS3,1.70045295820753,1.58782229709442
0.696480872317839,0.0270105886732635,0.341597049374598,EEF1A1,1.46627811324351,1.56846595062321
0.746968756910405,0.0273575524800603,0.341597049374598,ASS1,1.52929938150747,1.56292275899689
0.628060213351816,0.0277167306869451,0.341597049374598,ACADSB,1.38372414616436,1.55725799802685
0.896737408430599,0.0290462660414231,0.341597049374598,ETF1,1.72757572805257,1.53690968915432
0.841213256626052,0.0291600083385944,0.341597049374598,G6PD,1.652012653615,1.53521235616322
0.642190167807936,0.0293192333822364,0.341597049374598,MCM5,1.40051179442253,1.53284738949534
0.652549617847473,0.029454156618389,0.341597049374598,CRYZ,1.41290500951242,1.53085340820973
0.643683841275731,0.0300389632641587,0.341597049374598,MVD,1.40229423520314,1.52231506023061
0.822110995577489,0.0302809813173755,0.341597049374598,PPP2R2A,1.62658765115215,1.51883005473949
0.891768346363172,0.0304523700889024,0.341597049374598,RRM1,1.72071072312771,1.51637890084801
0.619839568753992,0.0307370690107655,0.341597049374598,CARM1,1.37401846449134,1.51233754780373
0.660813329553324,0.0307853242222876,0.341597049374598,COTL1,1.42284325566513,1.51165626818233
0.751436944038563,0.0309178999018315,0.341597049374598,CPNE1,1.53496584894366,1.50979001320201
0.615490895859313,0.0318424319917633,0.341597049374598,EIF4A3,1.3689022775579,1.49699377007169
0.588479438066917,0.0319882554271056,0.341597049374598,NIPSNAP2,1.33740022446872,1.49500944478746
0.830526655663224,0.0321318786184839,0.341597049374598,HNRNPF,1.63775344249242,1.49306388229815
0.662749492293056,0.0323638983818847,0.341597049374598,EIF2S1,1.42517849489987,1.48993917112129
0.602656765282816,0.0324365591250602,0.341597049374598,BPNT1,1.35387534545077,1.48896522203971
0.760145738039874,0.0332388059084858,0.341597049374598,AKR1A1,1.54605253549663,1.47835458647248
0.762536406223536,0.0333854002452267,0.341597049374598,MCM2,1.54910580175746,1.47644341280323
0.716724562636802,0.0345100006225317,0.341597049374598,BRIX1,1.49132724559141,1.4620550328742
0.78994899401982,0.0348144212730783,0.341597049374598,LANCL1,1.5844221980046,1.45824081979036
