logFC,P.Value,adj.P.Val,symbol,FC,logPval
-0.907033086554328,0.0005244734339153,0.00435968541942093,ACTR2,-1.7418650326166,3.28027650517527
-1.20251861105237,0.000682102624829453,0.00503998050568429,MYH9,-2.19278192122284,3.16615027923772
-0.820965516429212,0.000847471185285134,0.00593229829699593,GAPDH,-1.62507213187981,3.07187505924217
-1.47823041168625,0.00099187594719225,0.00659597504882847,MYH10,-2.69633568680018,3.00354264117123
-0.858640902100539,0.00169397974957716,0.00912112283244601,SERPINB12,-1.67546129257355,2.7710917856815
-0.960282961557688,0.00171449677301617,0.00912112283244601,CTSD,-1.81720244887276,2.7658633279667
-0.590277653311308,0.00227331072193618,0.0111456945531363,THRAP3,-1.33948270109077,2.64334119973497
-1.07162722369528,0.00245880876736995,0.0111456945531363,GGCT,-1.98285715087856,2.60927524698538
-0.761606976465647,0.00288857964344902,0.012005659143085,ARG1,-1.54791826611608,2.53931565366053
-0.620053400044094,0.00331251433523654,0.0133504365632261,SFN,-1.3742703573335,2.47984223359833
-0.75833589939732,0.00464551340352818,0.0176529509334071,PPM1B,-1.54374390555482,2.3329662825319
-0.795911768332868,0.00639192494010113,0.0213952425282955,ANXA2,-1.59217951043426,2.1943683335519
-0.766401047041718,0.012646184124363,0.0347288255699426,CAPZB,-1.55405056707377,1.89804049928915
-0.593886459786095,0.0127487833639424,0.0347288255699426,PSMA4,-1.34366826883849,1.89453125864473
-0.736361111020093,0.0127948304731368,0.0347288255699426,LCN1,-1.51590562409317,1.89296546398305
-0.587152464834165,0.0134851112710407,0.0358703959809682,PFKFB2,-1.33586481620611,1.87014546565903
-0.61593492068185,0.0159290791124947,0.0391295375400913,PGK1,-1.36942409910895,1.79780933078533
-0.804297591715073,0.016181387704549,0.0391295375400913,PPIA,-1.60313515809569,1.79098423633407
-0.809044259754742,0.0254086809376003,0.0553992551590302,ENO1,-1.60936041882348,1.59501788026214
-0.644557475695168,0.032125185136596,0.0672653181652846,CAPZA1,-1.4033374632623,1.49315436082577
-0.815621010937729,0.0321450694185689,0.0672653181652846,SERPINB3,-1.6180146415535,1.49288563202509
-0.791047872791456,0.0333437593777947,0.0672653181652846,STK38,-1.58584975365345,1.47698543675189
-0.741399528484461,0.0400640714177144,0.0783606102728825,STK38L,-1.52225712551982,1.39724491863706
-0.672393278871127,0.047037156415574,0.0868880806009909,CASP14,-1.43684834885556,1.32755894097854
